$PRPSHEET:"SW-File Name",,,,,,
ITEM NO.,QTY.,Dwg no.,Lchk,LENGTH,DESCRIPTION,PART NUMBER
1,5,,,,PLUG SQ HD CS 1.5" MNPT,3085-0150-025
2,3,,,,PLUG SQ HD CS 2.0" MNPT,3085-0200-025
3,2,,,,PLUG SQ HD CS .25" MNPT,3085-0025-025
4,1,,,,PLUG SQ HD CS .75" MNPT,3085-0075-025
5,36,,,,NUT LOCK SERR FLG 1/2-13,3810-0050-001
6,20,,,,BOLT SERR HEX FLG 1/2-13 X 1.5,3800-5015-001
7,4,,,,BOLT HEX 1/2-20 X 3.5"LG GR5 CS ZINC,3800-5035-001
8,4,,,,WASHER 1/2 GR8 USS FLAT ZINC,3830-0050-004
9,12,,,,BOLT SERR HEX FLG 1/2-13 X 1.0 ZINC,3800-5010-005
10,1,,,,U-BOLT 2.5" ID 5/16-18 UNC 2" PIPE,3825-0250-001
11,4,,,,BOLT HEX FLG 1/2-13 X 4.0LG GR8,3800-5040-001
12,4,,,,NUT LOCK SERR FLG 7/16-14,3810-0043-001
13,4,,,,BOLT SERR HEX FLG 7/16-14 X 1,3800-4310-001
14,1,,,,INPUT PIPING CS,6890-ACV0121010-1
14.1,3,,,,FILTER INLET SLNCR 1.25" 70CFM POLY,  2926-0125-001
14.2,1,,,,TEE 3.0" FNPT,  3025-0300-025
14.3,1,,,,ELBOW 2.0" 90°,  3012-0200-025
14.4,1,,,,BUSHING 4.0"MNPT X 3.0"FNPT,  3002-4030-025
14.5,2,,,,BUSHING 3.0"MNPT X 2.0"FNPT,  3002-3020-025
14.6,2,,,,BUSHING 4.0"MNPT X 2.00"FNPT,  3002-4020-025
14.7,2,,,,UNION 2.0" FNPT,  3031-0200-025
14.8,3,,,,TEE 2.0" FNPT,  3025-0200-025
14.9,3,,,,BUSHING 2.0"MNPT X 1.25"FNPT,  3002-2012-025
14.10,2,,,,TEE 4.0" FNPT,  3025-0400-025
14.11,1,,,,ELBOW 4.0" 90°,  3012-0400-025
14.12,1,,,,TEE REDUC 2"FNPT X 2"FNPT X 0.5"FNPT CS,  3026-200520-025
14.13,1,,,,FTNG 90° .25"MNPTX.25"TUBE BRS PUSH,  3039-0025-001
14.14,1,,,,BUSHING .5"MNPT X .25"FNPT,  3002-0502-025
14.15,3,,,,FLANGE ASSY 2.5"150#X2"NPT CS/TEFL,  3230-2520-007
14.15.1,1,,,,BOLT SET FOR 2.5" 150 # FLANGE,    3775-0250-003
14.15.2,1,,,,FLANGE 2.5" 150# X 2" THD CS W/RF,    3216-2520-000
14.15.3,2,,,,GASKET PTFE  4.88" ODX2.88" ID X.12",    3510-0250-001
14.16,3,,,,FLEX CONN 2" MNPT X 8"LG 304S/CS,  3300-0200-001
14.17,1,,14.14,14.14,PIPE 2" NOM DIA XSCH40 CS.,  5500-0200-000
14.18,1,,5.62,,NIPPLE 2.0"MNPT X 6.0",  3086-2060-025
14.19,1,,6.53,7.03,PIPE 2" NOM DIA XSCH40 CS.,  5500-0200-000
14.20,1,,8.76,8.76,PIPE 2" NOM DIA XSCH40 CS.,  5500-0200-000
14.21,1,,3.87,,NIPPLE 2.0"MNPT X 4.0",  3086-2040-025
14.22,2,,2.00,,NIPPLE 2.0"MNPT X CLOSE,  3086-2000-025
14.23,5,,2.50,,NIPPLE 2.0"MNPT X 2.5",  3086-2025-025
14.24,1,,4.00,,NIPPLE 4.0"MNPT X 4.0"MNPT CS,  3086-4040-025
14.25,1,,13.37,13.37,PIPE 4" NOM DIA X SCH40 CS.,  5500-0400-000
14.26,4,,,,VLV BALL 2.0" FNPT FP 2-PC BRZ/TF,  7302-0200-000
14.27,3,,,,VLV CK PAN 2.5" WAF SS/SS/T LT SPRING,  7321-0250-001
14.28,3,,,,VALVE VAC RELIEF 1.25" ADJ 60SCFM,  7342-0125-000
14.29,1,,,,TUBING .25"OD FEP/TEFLN TRANSLUCENT,  7200-0025-001
14.30,1,,8.92,8.92,PIPE 3" NOM DIA X SCH40 CS.,  5500-0300-000
14.31,1,,,,UNION 3.00" FNPT,  3031-0300-025
14.32,1,,6.00,,NIPPLE 3.0"MNPT X 6.0",  3086-3060-025
15,1,,,,EXHAUST PIPING CS,6890-ACV0121010-2
15.1,10,,,,ELBOW 2.5" 90°,  3012-0250-025
15.2,6,,,,UNION 2.50" FNPT,  3031-0250-025
15.3,3,,,,FLANGE ASY 2.5"150# 2.5"THD CS/BN/BOLT,  3230-0250-005
15.3.1,1,,,,FLANGE THD 2.5" 150# CS W/RF,    3216-0250-000
15.3.2,1,,,,GASKET PTFE  4.88" ODX2.88" ID X.12",    3510-0250-001
15.3.3,1,,,,BOLT SET FOR 2.5" 150 # FLANGE,    3775-0250-000
