assy,Op,WC,Item,Q,Description,U
0300-2025-035,10,PICK,6602-0400-000,31.06,CHANNEL C4X5.4 20FT ASTM A36 CS,FT
0300-2025-035,10,PICK,7215-0250-000,22.27,"TUBING SQ. 2.5""X2.5""X1/4""X20FT HR CS",FT
1951002006,10,PICK,1000-0004-M00,1.0,"PLATE, PORT DV0300/200/150 CI MACH",EA
1951002006,10,PICK,1000-0009-M00,1.0,"HSG, END DV0300/200/150 CI MACH",EA
1951002006,10,PICK,1000-0020-M00,1.0,"ADAPTOR, FLANGE DV0300/200/150",EA
1951002006,10,PICK,1000-0101-M00,1.0,SHAFT DV0200 STEEL,EA
1951002006,10,PICK,1000-0102-M00,1.0,"HSG, BEARING DV0200/150 CI MACH",EA
1951002006,10,PICK,1000-0105-M00,1.0,"BARREL,DV0200 CI MACH",EA
1951002006,10,PICK,3085-0025-025,3.0,"PLUG SQ HD CS .25"" MNPT",EA
1951002006,10,PICK,3085-0037-025,1.0,"PLUG SQ HD CS .38"" MNPT",EA
1951002006,10,PICK,3085-0050-025,3.0,"PLUG SQ HD CS .5"" MNPT",EA
1951002006,10,PICK,3700-2012-668,1.0,"GUARD, CPLG BRG HSG DV0300/200/150",EA
1951002006,10,PICK,3800-1235-002,4.0,"SCREW, SHCS M12 X 35 GR12.9 C/S",EA
1951002006,10,PICK,3821-0010-000,1.0,"SCREW, SHCS M10 X 90 GR 8.8 C/S",EA
1951002006,10,PICK,3821-0012-000,4.0,"SCREW, HHCS M12 X 30 GR 8.8 C/S",EA
1951002006,10,PICK,3821-0012-002,5.0,"SCREW, SHCS M12 X 120 GR8.8 C/S",EA
1951002006,10,PICK,3830-0M12-001,9.0,"WASHER, FLAT M12 GR 8.8 PLAIN",EA
1951002006-230-460V,10,PICK,1951002006,1.0,AWC 280 A CISS BS,EA
1951002006-230-460V,10,PICK,2321-0800-000,1.0,"DRIVE CPLG ASSY 8S 38MM/1.62"" CI/EP",EA
1951002006-230-460V,10,PICK,3800-5010-002,4.0,BOLT SOCKET HD CS 1/2-13 X 1,EA
1951002006-230-460V,10,PICK,5010-0150-100,1.0,MOTOR 15HP 4P 230/460V 254TC PREM,EA
2321-0800-000,10,PICK,2302-0800-000,1.0,DRIVE CPLG ELMNT 8S EPDM SINGLE,EA
2321-0800-000,10,PICK,2320-0800-162,1.0,"DRIVE CPLG 8S 1.625"" CI STD BORE",EA
2321-0800-000,10,PICK,2320-0801-038,1.0,DRIVE CPLG 8S 38MM CI STD BORE,EA
2728-2025-036,10,PICK,6652-0025-007,4.9,"STOCK FLAT 1/4""X5""X20FT CS HR A-36",FT
2728-2025-097,10,PICK,6600-0025-001,3.33,"ANGLE 1/4""X2""X2""X20FT A-36 CS",FT
2728-2025-097,10,PICK,6652-0038-002,0.54,"STOCK FLAT 3/8""X2""X20FT CS HR A-36",FT
2728-2025-529,10,PICK,6600-0025-001,3.33,"ANGLE 1/4""X2""X2""X20FT A-36 CS",FT
2728-2025-529,10,PICK,6652-0025-002,0.54,"STOCK FLAT 1/4""X2""X20FT CS A36",FT
3230-0250-005,10,PICK,3216-0250-000,1.0,"FLANGE THD 2.5"" 150# CS W/RF",EA
3230-0250-005,10,PICK,3510-0250-001,1.0,"GASKET PTFE  4.88"" ODX2.88"" ID X.12""",EA
3230-0250-005,10,PICK,3775-0250-000,1.0,"BOLT SET FOR 2.5"" 150 # FLANGE",EA
3230-2520-007,10,PICK,3216-2520-000,1.0,"FLANGE 2.5"" 150# X 2"" THD CS W/RF",EA
3230-2520-007,10,PICK,3510-0250-001,2.0,"GASKET PTFE  4.88"" ODX2.88"" ID X.12""",EA
3230-2520-007,10,PICK,3775-0250-003,1.0,"BOLT SET FOR 2.5"" 150 # FLANGE",EA
6008-0120-009,10,PICK,3003-0100-000,2.0,"CPLG 1.00"" FNPT FULL 150# CS",EA
6008-0120-009,10,PICK,3004-0050-000,1.0,"CPLG .5"" FNPT HALF 150# CS.",EA
6008-0120-009,10,PICK,3004-0100-000,1.0,"CPLG 1.00"" FNPT HALF 150# CS.",EA
6008-0120-009,10,PICK,3214-0400-000,1.0,"FLANGE SLIP-ON 4"" 150# CS W/RF",EA
6008-0120-009,10,PICK,5500-0250-000,5.44,"PIPE 2.5"" NOM DIA X SCH40 CS.",FT
6008-0120-009,10,PICK,5500-0400-000,0.65,"PIPE 4"" NOM DIA X SCH40 CS.",FT
6008-0120-009,10,PICK,6008-0120-000,1.0,RCVR TNK HRZ 120G CS GRASSHOPP ASME,EA
6890-ACV0121010-1,10,PICK,2926-0125-001,3.0,"FILTER INLET SLNCR 1.25"" 70CFM POLY",EA
6890-ACV0121010-1,10,PICK,3002-0502-025,1.0,"BUSHING .5""MNPT X .25""FNPT",EA
6890-ACV0121010-1,10,PICK,3002-2012-025,3.0,"BUSHING 2.0""MNPT X 1.25""FNPT",EA
6890-ACV0121010-1,10,PICK,3002-3020-025,2.0,"BUSHING 3.0""MNPT X 2.0""FNPT",EA
6890-ACV0121010-1,10,PICK,3002-4020-025,2.0,"BUSHING 4.0""MNPT X 2.00""FNPT",EA
6890-ACV0121010-1,10,PICK,3002-4030-025,1.0,"BUSHING 4.0""MNPT X 3.0""FNPT",EA
6890-ACV0121010-1,10,PICK,3012-0200-025,1.0,"ELBOW 2.0"" 90°",EA
6890-ACV0121010-1,10,PICK,3012-0400-025,1.0,"ELBOW 4.0"" 90°",EA
6890-ACV0121010-1,10,PICK,3025-0200-025,3.0,"TEE 2.0"" FNPT",EA
6890-ACV0121010-1,10,PICK,3025-0300-025,1.0,"TEE 3.0"" FNPT",EA
6890-ACV0121010-1,10,PICK,3025-0400-025,2.0,"TEE 4.0"" FNPT",EA
6890-ACV0121010-1,10,PICK,3026-200520-025,1.0,"TEE REDUC 2""FNPT X 2""FNPT X 0.5""FNPT CS",EA
6890-ACV0121010-1,10,PICK,3031-0200-025,2.0,"UNION 2.0"" FNPT",EA
6890-ACV0121010-1,10,PICK,3031-0300-025,1.0,"UNION 3.00"" FNPT",EA
6890-ACV0121010-1,10,PICK,3039-0025-001,1.0,"FTNG 90° .25""MNPTX.25""TUBE BRS PUSH",EA
6890-ACV0121010-1,10,PICK,3086-2000-025,2.0,"NIPPLE 2.0""MNPT X CLOSE",EA
6890-ACV0121010-1,10,PICK,3086-2025-025,5.0,"NIPPLE 2.0""MNPT X 2.5""",EA
6890-ACV0121010-1,10,PICK,3086-2040-025,1.0,"NIPPLE 2.0""MNPT X 4.0""",EA
6890-ACV0121010-1,10,PICK,3086-2060-025,1.0,"NIPPLE 2.0""MNPT X 6.0""",EA
6890-ACV0121010-1,10,PICK,3086-3060-025,1.0,"NIPPLE 3.0""MNPT X 6.0""",EA
6890-ACV0121010-1,10,PICK,3086-4040-025,1.0,"NIPPLE 4.0""MNPT X 4.0""MNPT CS",EA
6890-ACV0121010-1,10,PICK,3230-2520-007,3.0,"FLANGE ASSY 2.5""150#X2""NPT CS/TEFL",EA
6890-ACV0121010-1,10,PICK,3300-0200-001,3.0,"FLEX CONN 2"" MNPT X 8""LG 304S/CS",EA
6890-ACV0121010-1,10,PICK,5500-0200-000,2.49,"PIPE 2"" NOM DIA XSCH40 CS.",FT
6890-ACV0121010-1,10,PICK,5500-0300-000,0.74,"PIPE 3"" NOM DIA X SCH40 CS.",FT
6890-ACV0121010-1,10,PICK,5500-0400-000,1.11,"PIPE 4"" NOM DIA X SCH40 CS.",FT
6890-ACV0121010-1,10,PICK,7200-0025-001,1.0,"TUBING .25""OD FEP/TEFLN TRANSLUCENT",EA
6890-ACV0121010-1,10,PICK,7302-0200-000,4.0,"VLV BALL 2.0"" FNPT FP 2-PC BRZ/TF",EA
6890-ACV0121010-1,10,PICK,7321-0250-001,3.0,"VLV CK PAN 2.5"" WAF SS/SS/T LT SPRING",EA
6890-ACV0121010-1,10,PICK,7342-0125-000,3.0,"VALVE VAC RELIEF 1.25"" ADJ 60SCFM",EA
6890-ACV0121010-2,10,PICK,3012-0250-025,10.0,"ELBOW 2.5"" 90°",EA
6890-ACV0121010-2,10,PICK,3031-0250-025,6.0,"UNION 2.50"" FNPT",EA
6890-ACV0121010-2,10,PICK,3086-2540-025,3.0,"NIPPLE 2.50""MNPT X 4.0"" LG CS",EA
6890-ACV0121010-2,10,PICK,3086-2545-025,7.0,"NIPPLE 2.50""MNPT X 4.5"" LG CS",EA
6890-ACV0121010-2,10,PICK,3230-0250-005,3.0,"FLANGE ASY 2.5""150# 2.5""THD CS/BN/BOLT",EA
6890-ACV0121010-2,10,PICK,3300-0250-001,3.0,"FLEX CONN 2.5"" MNPT X 12""LG 304S/CS",EA
6890-ACV0121010-2,10,PICK,5500-0250-000,3.34,"PIPE 2.5"" NOM DIA X SCH40 CS.",FT
6890-ACV0121010-3,10,PICK,3002-0503-025,3.0,"BUSHING .5""MNPT X .375""FNPT",EA
6890-ACV0121010-3,10,PICK,3002-1003-025,3.0,"BUSHING STEEL 1.0""MNPT X .375""FNPT",EA
6890-ACV0121010-3,10,PICK,3002-1005-025,3.0,"BUSHING 1.0""MNPT X .5""FNPT STEEL",EA
6890-ACV0121010-3,10,PICK,3002-1510-025,2.0,"BUSHING 1.5""MNPT X 1.0""FNPT",EA
6890-ACV0121010-3,10,PICK,3012-0037-025,3.0,"ELBOW .375"" 90°",EA
6890-ACV0121010-3,10,PICK,3012-0050-025,4.0,"ELBOW .50"" 90°",EA
