$PRPSHEET:"SW-File Name",,,,,,
ITEM NO.,QTY.,Dwg no.,Lchk,LENGTH,DESCRIPTION,PART NUMBER
1,1,,,,BASEPLATE ACV0158450 CS INERTIA,0300-2025-367
2,2, ,,,PUMP SUBASSEMBLY,ACV0158450-1
2.1,1,,,,ELBOW 1.0" SR 90° FNPT 150# 316SS,  3012-0100-001
2.2,1,,,,ELBOW 4.0" SR 90° FNPT 150# 316SS,  3012-0400-004
2.3,1,,,4.50,NIPPLE 4.0"MNPT X 4.5" LG. 316SS,  3086-4045-001
2.4,1,,,,HEX PLUG 1.00" MNPT 150# 316SS,  3085-0100-001
2.5,20,,,,BOLT SERR HEX FLG 5/8-11X2,  3800-6220-001
2.6,4,,,,BOLT SERR HEX FLG 1/4-20X3/4,  3800-2507-000
2.7,4,,,,BOLT SERR HEX FLG 1/2-13X3,  3800-5030-000
2.8,2,,,,BOLT SERR HEX FLG 7/16-14 X 1.5,  3800-4315-001
2.9,2,,,,NUT LOCK SERR FLG 7/16-14,  3810-0043-001
2.10,2,,,,BOLT HEX HEAD 5/16-18 X 1.0" GR5 WHIZ,  3800-3110-001
2.11,2,,,,NUT SERRATED HEX 5/16-18,  3810-0031-001
2.12,1,,,,NIPPLE 1.0"MNPT X 2.0 316SS,  3086-1020-001
2.13,1,,,,NIPPLE 1.0"MNPT X 3.0 LG. 316SS,  3086-1030-001
2.14,1,,10.00,10.00,PIPE 4" NOM DIA X SCH40 316SS,  5500-0400-002
2.15,2,1980252,,,RISERBLOCK FOR 324/326T MOTOR CS.,  6050-1980-252
2.16,4,1980304,,,RISERBLK SHIM FOR 324/326T MOTOR CS,  6050-1980-304
2.17,1,1980003,,,BASEPLATE CS,  0300-1980-003
2.17.1,8,,,,5/8"-11 UNC HEX WELD NUT,    
2.17.2,4,,,,1/2"-13 UNC HEX WELD NUT,    
2.17.3,4,,,,7/16"-14 UNC HEX WELD NUT,    
2.18,1,,,,DRIVE CPLG ASSY 10S 42MM/2.13"CI/EP,  2321-1000-000
2.18.1,1,,,, DRIVE CPLG ELMNT 10S EPDM SPLIT,    2302-1000-001
2.18.2,1,,,,DRIVE CPLG 10S 2.125" CI STD BORE,    2320-1000-212
2.18.3,1,,,,DRIVE CPLG 10S 42MM CI SPEC BORE,    2320-1001-042
2.19,1,,,,PIPING KIT #2 VACUUM GAUGE ADAPT SS,  3180-UNV2-001
2.19.1,1,,,,ELBOW .25" SR 90° FNPT 150# 316SS,    3012-0025-001
2.19.2,1,,3.00,,NIPPLE .25"MNPT X 3.0" LG. 316SS,    3086-2530-002
2.19.3,1,,,,BUSHING .38"MNPT X .25"FNPT 316SS,    3002-3825-001
2.20,2,,,,FLANGE THD 4.0" 150# 316 SST W/RF,  3216-0400-001
2.21,1,,,,FLANGE ASY 4" 150# THD SS/TEF BOLT,  3230-0400-009
2.21.1,1,,,,FLANGE THD 4.0" 150# 316 SST W/RF,    3216-0400-001
2.21.2,2,,,,GASKET PTFE  6.88" ODX4.50" ID X.12",    3510-0400-001
2.21.3,1,,,,BOLT SET FOR 4" 150# FLG ZINC PLTD,    3775-0400-003
2.21.3.1,8,X,,,X,      0.6250-11x5.5
2.21.3.1.1,1,,,,BOLT HEX HEAD 5/8-11 X 4.5"L ZINC PLT,        PURCHASE
2.21.3.1.2,1,,,,HEAVY HEX NUTS 5/8 - 11 UNC ZINC PLATED,        PURCHASE
2.22,1, ,,,FLEX CONN 4" FLG X 9"LG 304SS/316SS,  3300-0400-005
2.23,2,,,,GASKET PTFE  6.88" ODX4.50" ID X.12",  3510-0400-001
2.24,1,,,,GAUGE VAC 0-30"HGV 2.5" FILL 316 SS,  3635-0025-001
2.25,1,1980002,,,GUARD CPLG FOR 25-50HP CS,  3700-1980-002
2.26,2,,,,BOLT SET FOR 4" 150# FLG ZINC PLTD,  3775-0400-001
2.27,1,,,,MOTOR 40HP 4P 230/460V 324T PREM,  5013-0400-102
2.28,1,2011549,,, SEPARATOR NR/PR SS DVW453/553,  6430-453-553-001
2.29,1,,,,SEAL FLUID PIPING SS,  6890-ACV0158450-1
2.29.1,1,,,,BUSHING 1.0"MNPT X .75"FNPT 316SS,    3002-1075-001
2.29.2,1,,,,CROSS 1.0" FNPT 150# 316SS,    3005-0100-001
2.29.3,1,,,,ELBOW .38" SR 90° FNPT 150# 316SS,    3012-0038-001
2.29.4,1,,,,ELBOW .50" SR 90° FNPT 150# 316SS,    3012-0050-001
2.29.5,2,,,,ELBOW 1.0" SR 90° FNPT 150# 316SS,    3012-0100-001
2.29.6,2,,,,TEE 1.00" FNPT 150# 316SS,    3025-0100-001
2.29.7,2,,,,UNION 1.0" FNPT 150# 316SS,    3031-0100-001
2.29.8,1,,,,SQ PLUG .38" MNPT 150# 316SS,    3085-0038-001
2.29.9,1,,,,SQ HD PLUG .50" MNPT 150# 316SS,    3085-0050-001
2.29.10,1,,,,HEX PLUG 1.00" MNPT 150# 316SS,    3085-0100-001
2.29.11,2,,,,FLANGE THD 1.0" 150# 316 W/RF,    3216-0100-001
2.29.12,2,,,,FLANGE 1.0" 150# X .75" THD SS W/RF,    3216-1075-001
2.29.13,2,,,,GASKET PTFE  2.63" ODX1.31" ID X.12",    3510-0100-001
2.29.14,1,,,,GAUGE TMP .5" 20/240°F°C W/THERWELL,    3630-0050-001
2.29.14.1,1,,,,GAUGE TMP .5"  20-240°F 3" DIAL 304 SS,      3630-0050-000
2.29.14.2,1,,,,THERMOWELL .75NPT 316SS,      7030-0075-000
2.29.15,2,,,,BOLT SET FOR 1" 150# FLG ZINC PLTD,    3775-0100-001
2.29.16,2,,,1.50,NIPPLE .38"MNPT X 1.5"LG. 316SS,    3086-3815-001
2.29.17,1,,,1.50,NIPPLE .50"MNPT X 1.5 LG. 316SS,    3086-5015-001
2.29.18,2,,,2.50,NIPPLE .75"MNPT X 2.5" LG.  316SS,    3086-7525-001
2.29.19,3,,,2.00,NIPPLE 1.0"MNPT X 2.0 316SS,    3086-1020-001
2.29.20,3,,,2.50,NIPPLE 1.0"MNPT X 2.5 LG. 316SS,    3086-1025-001
2.29.21,1,,,2.25,NIPPLE 1.0"MNPT X 2.0 316SS,    3086-1020-001
2.29.22,1,,,4.00,NIPPLE 1.0"MNPT X 4.0 LG. 316SS,    3086-1040-001
2.29.23,2,,,4.37,NIPPLE 1.0"MNPT X 4.5 LG. 316SS,    3086-1045-001
2.29.24,1,,,5.41,NIPPLE 1.0"MNPT X 5.5 LG. 316SS,    3086-1055-001
2.29.25,1,,,5.59,NIPPLE 1.0"MNPT X 5.5 LG. 316SS,    3086-1055-001
2.29.26,1,,,18.42,PIPE 1" NOM DIA X SCH40 316SS,    5500-0100-001
2.29.27,1,,,,STRAINER Y 1.0" THD FNPT 316/316,    6770-0100-001
2.29.28,1,,,,VLV BALL .38" FNPT FP 2-PC 316/TF,    7302-0038-001
2.29.29,1,,,,VLV BALL 1.0" FP 2-PC THD 316/TF,    7302-0100-001
2.29.30,1,,,,VLV SWING CHECK .5" THD FNPT 316/TF,    7320-0050-001
2.29.31,1,,,,VLV SOL 2WAY 1" N4 SS/BN 120V 5PSI ,    7334-0100-025
2.29.32,1,,,,VLV FLOW CNTL 5.0 GPM 1"FNPT SS/BUN,    7375-0050-002
2.29.33,1,,,1.13,NIPPLE .50"MNPT X CLOSE 316SS,    3086-5000-001
2.30,1,,,,VLV BALL 1.0" FP 2-PC THD 316/TF,  7302-0100-001
2.31,1,,,,VLV BUTTERFLY 4.0"LUG CI/SS/EPDM,  7308-0400-002
