$PRPSHEET:"SW-File Name",,,,,
ITEM NO.,QTY.,Dwg no.,Lchk,DESCRIPTION,PART NUMBER
1,1,2025764,,BASEPLATE DVW0083KF1-00 CS,0300-2025-764
2,1, ,,CTRL PNL FR AQUASEAL 5HP 460V,2210-1103-230
3,1,,,DRIVE CPLG ASSY 6S 28MM/1.13" CI/EP,2321-0600-000
3.1,1,,, DRIVE CPLG 6S 28 MM CI SPEC BORE,  2320-0601-028
3.2,1,,, DRIVE CPLG 6S 1.125" CI STANDARD,  2320-0600-112
3.3,1,,,DRIVE CPLG ELMNT 6S EPDM SPLIT,  2302-0600-000
4,1,,,ELBOW 1.5" 90° FNPT,3012-0150-025
5,1,,3.00,NIPPLE 1.5"MNPT X 3.0"L,3086-1530-025
6,1, ,,PIPING KIT #2 VACUUM GAUGE ADAPT,3180-UNV2-000
7,1,,,FLANGE ASY 1.5" 150# THD CS/BN BOLT,3230-0150-010
8,1,,,FLANGE ASY 1.5" 150# THD CS/BN BOLT,3230-0150-000
9,1,,,GAUGE VAC 0-30"HGV 2.5" DIAL FILLED,3635-0025-000
10,4,,,BOLT SERR HEX FLG 1/4-20X3/4,3800-2507-000
11,4,,,BOLT HEX HEAD 5/16-18 X 1.0" GR5 WHIZ,3800-3110-001
12,14,,,BOLT SERR HEX FLG 5/16-18X1-1/4 ZN,3800-3112-000
13,4,,,BOLT SERR HEX FLG 3/8-16 X 1,3800-3710-001
14,4,,,BOLT SERR HEX FLG 7/16-14 X 1,3800-4310-001
15,4,,,BOLT SOCKET HD CS 1/2-13 X 1,3800-5010-002
16,4,,,BOLT SERR HEX FLG 1/2-13 X 1.5,3800-5015-001
17,4,,,NUT LOCK SERR FLG 1/4-20,3810-0025-001
18,18,,,NUT SERRATED HEX 5/16-18,3810-0031-001
19,4,,,NUT LOCK SERR FLG ZINC 3/8-16,3810-0037-001
20,4,,,NUT LOCK SERR FLG 7/16-14,3810-0043-001
21,4,,,NUT LOCK SERR FLG 1/2-13,3810-0050-001
22,1,,,HT EX 0324 4PASS CS/CU/CI NARW,4038-0324-004
23,1,,,MOTOR 5HP 4P 208-230/460V 184TC PE,5010-0050-100
24,1,2022847,,SEPARATOR FR 10" OD W/LID CS,6415-2022-847
25,1,,,SUBASSEMBLY PIPING SIGHT GLASS,6890-064545-2
26,1,,,INLET / ANTICAV / MAKE-UP PIPING CS,6890-110323-02
27,1,,,PRECONDENSER POST PIPING,6890-DVT0161720-01
28,1,,,SEAL FLUID PIPING CS,6890-DVT0161720-02
29,1,,,SWITCH LEVEL 1" MNPT N7 BRS/SST,6910-0100-000
30,1,,,VLV CK PAN 1.5" WAF SS/SS/T LT SPIG,7321-0150-001
31,1, ,,PRECONDENSER 1-PASS (06048),9950-DVT0161720-1
32,1,,,PUMP LR 1 STG 80 CFM CI/SS/VITON,DV0080D-KA3
